Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,7439557975569665288,2024-11-21T10:44:36,173,PH,85200,212,507,44800000,"The idea of going back to college in my 40s felt daunting, terrifying even. But knowing my family believes in me gives me the strength to face every challenge head-on. This journey has taught me that courage isn’t about being completely fearless—it’s about moving forward despite the fear, trusting that your purpose is greater than any obstacle in your path, and above all, remembering you are never truly alone. #GoForwardTogether@Globe Telecom ",True,Unnamed: 32,bogarttheexplorer,Bogart The Explorer,643800,105,9600000,434,255,False,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7486573385661566215,2025-03-28T03:28:24,46,NZ,1258,16,11,11000,This game is ultra realistic… #gaming #satire #meme ,False,,modestpelican,ModestPelican,1900000,46,54000000,642,2104,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7485837070557072658,2025-03-26T03:51:15,42,NZ,2517,37,22,26600,You can’t fool me… 🫣 #satire #gaming #meme ,False,,modestpelican,ModestPelican,1900000,46,54000000,642,2104,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7488358989294603527,2025-04-01T22:57:28,29,US,536,6,10,22700,,False,NOAH MESSAGED HER!,harryjowsey,Harry Jowsey,5100000,421,234700000,827,57000,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7488355088218492178,2025-04-01T22:42:19,41,US,3911,34,14,95600,@Ekin-Su joins us this week on @Boyfriend Material 🤞🏽💗 #LoveIsland ,False,,harryjowsey,Harry Jowsey,5100000,421,234700000,827,57000,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7479868619355180295,2025-03-10T01:50:32,30,US,2200000,24800,1448,16600000,"I can’t believe it, I’m so proud of you guys @Lele Pons  @guaynaa   This baby is going to be so loved 😭🥹 couldn’t be more happier for you two 💗 A few weeks ago lele came onto @Boyfriend Material and gave us the best surprise. I can’t wait for you to see our full conversation around this exciting new chapter in her life. Out Tuesday 💗",False,SHE’S PREGNANT!,harryjowsey,Harry Jowsey,5100000,421,234700000,827,57000,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7488413356324343048,2025-04-02T02:28:30,38,US,1135,34,14,25700,I wonder who she’s talking about #loveisland ,False,,harryjowsey,Harry Jowsey,5100000,421,234700000,827,57000,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7485779231503437064,2025-03-26T00:06:42,151,US,678,11,22,83600,"You already know Amazon got the goods, but now the goods are on sale for Amazon’s Big Spring Sale. Check my storefront for my faves @Amazon @Amazon Influencer Program #amazonpartner 🔥🤞🏽💗",False,! AMAZON’S BIG SPRING SALE !,harryjowsey,Harry Jowsey,5100000,421,234700000,827,57000,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7032205014730886401,2021-11-19T17:07:01,17,AU,1500000,46200,11500,24100000,Yes or no to part 2😜Click + for more 💜LOVE ALL MY 988k followers 🙌💗,False,Wait for split ,aussietverk,Kris Moskov,2000000,2224,14000000,415,12100,False,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7488119488274009351,2025-04-01T07:28:08,8,AU,883,5,26,7330,"🔥 Learn how to do this move here⏭️💃 @LEARN HOW TO TVERK ONLINE👑  Join my online school & master the art of confidence, energy and movement from anywhere in the world! 💻🌍🔥 💖 Double tap if you’re ready to glow up☀️",False,,aussietverk,Kris Moskov,2000000,2224,14000000,415,12100,False,Whitsunday,"Queensland, Australia",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7005046467207367937,2021-09-07T12:37:59,15,AU,2200000,59000,7350,38100000,YES OR NO AYY MACARENA PART 2💗Click + if I killed it ♥️thank you all for your love and support 💫,False,,aussietverk,Kris Moskov,2000000,2224,14000000,415,12100,False,,,
